CMD                             PID
/sbin/init                        1
[kthreadd]                        2
[rcu_gp]                          3
[rcu_par_gp]                      4
[slub_flushwq]                    5
[netns]                           6
[kworker/0:0H-events_highpr       8
[mm_percpu_wq]                   10
[rcu_tasks_kthread]              11
[rcu_tasks_trace_kthread]        12
[ksoftirqd/0]                    13
[rcu_preempt]                    14
[migration/0]                    15
[idle_inject/0]                  16
[cpuhp/0]                        18
[cpuhp/1]                        19
[idle_inject/1]                  20
[migration/1]                    21
[ksoftirqd/1]                    22
[kworker/1:0H-events_highpr      24
[cpuhp/2]                        25
[idle_inject/2]                  26
[migration/2]                    27
[ksoftirqd/2]                    28
[kworker/2:0H-events_highpr      30
[cpuhp/3]                        31
[idle_inject/3]                  32
[migration/3]                    33
[ksoftirqd/3]                    34
[kworker/3:0H-events_highpr      36
[cpuhp/4]                        37
[idle_inject/4]                  38
[migration/4]                    39
[ksoftirqd/4]                    40
[kworker/4:0H-events_highpr      42
[cpuhp/5]                        43
[idle_inject/5]                  44
[migration/5]                    45
[ksoftirqd/5]                    46
[kworker/5:0H-events_highpr      48
[cpuhp/6]                        49
[idle_inject/6]                  50
[migration/6]                    51
[ksoftirqd/6]                    52
[kworker/6:0H-events_highpr      54
[cpuhp/7]                        55
[idle_inject/7]                  56
[migration/7]                    57
[ksoftirqd/7]                    58
[kworker/7:0H-events_highpr      60
[kdevtmpfs]                      61
[inet_frag_wq]                   62
[kauditd]                        63
[khungtaskd]                     64
[oom_reaper]                     65
[writeback]                      66
[kcompactd0]                     67
[ksmd]                           68
[khugepaged]                     69
[kintegrityd]                    70
[kblockd]                        71
[blkcg_punt_bio]                 72
[tpm_dev_wq]                     76
[ata_sff]                        77
[md]                             78
[edac-poller]                    79
[devfreq_wq]                     81
[watchdogd]                      86
[kworker/0:1H-events_highpr      88
[kswapd0]                        90
[ecryptfs-kthread]               91
[kthrotld]                       93
[irq/123-aerdrv]                 94
[irq/123-pcie-dpc]               95
[irq/124-aerdrv]                 96
[irq/124-pcie-dpc]               97
[irq/125-aerdrv]                 98
[irq/125-pcie-dpc]               99
[kworker/5:1-events]            102
[acpi_thermal_pm]               104
[xenbus_probe]                  105
[hwrng]                         106
[mld]                           107
[kworker/4:1H-events_highpr     108
[ipv6_addrconf]                 109
[kstrp]                         117
[zswap1]                        119
[zswap1]                        120
[zswap-shrink]                  121
[charger_manager]               126
[kworker/3:1H-events_highpr     154
[kworker/1:1H-events_highpr     155
[kworker/6:1H-kblockd]          156
[kworker/2:1H-events_highpr     157
[kworker/7:1H-kblockd]          158
[kworker/5:1H-events_highpr     159
[scsi_eh_0]                     176
[scsi_tmf_0]                    177
[nvme-wq]                       179
[nvme-reset-wq]                 180
[nvme-delete-wq]                182
[nvme-auth-wq]                  183
[irq/18-alcor_sdmmc]            184
[ttm]                           191
[card0-crtc0]                   192
[card0-crtc1]                   193
[card0-crtc2]                   194
[btrfs-worker]                  205
[btrfs-worker-hi]               206
[btrfs-delalloc]                207
[btrfs-flush_del]               208
[btrfs-cache]                   209
[btrfs-fixup]                   210
[btrfs-endio]                   211
[btrfs-endio-met]               212
[btrfs-rmw]                     213
[btrfs-endio-wri]               214
[btrfs-compresse]               215
[btrfs-freespace]               216
[btrfs-delayed-m]               217
[btrfs-qgroup-re]               218
[btrfs-cleaner]                 219
[btrfs-transaction]             220
/usr/lib/systemd/systemd-jo     260
[nv_queue]                      275
[nv_queue]                      276
/usr/lib/systemd/systemd-ud     278
[UVM global queue]              285
[UVM deferred release queue     286
[UVM Tools Event Queue]         287
[cfg80211]                      398
[irq/139-iwlwifi:default_qu     400
[irq/140-iwlwifi:queue_1]       401
[irq/141-iwlwifi:queue_2]       402
[irq/142-iwlwifi:queue_3]       403
[irq/143-iwlwifi:queue_4]       404
[irq/144-iwlwifi:exception]     405
[irq/74-ELAN0710:01]            406
[cryptd]                        414
[nvidia-modeset/kthread_q]      422
[nvidia-modeset/deferred_cl     423
[irq/146-nvidia]                424
[nv_queue]                      426
[jbd2/sda1-8]                   444
[ext4-rsv-conver]               453
/usr/lib/bluetooth/bluetoot     465
/usr/bin/dbus-daemon --syst     466
/usr/lib/systemd/systemd-lo     467
/usr/bin/NetworkManager --n     469
/usr/bin/NetworkManager --n     469
/usr/bin/NetworkManager --n     469
/usr/bin/NetworkManager --n     469
sshd: /usr/bin/sshd -D [lis     484
/sbin/agetty -o -p -- \u --     486
/usr/bin/ly-dm                  487
/usr/bin/wpa_supplicant -u      505
/usr/lib/systemd/systemd --     533
(sd-pam)                        534
/tmp/.mount_appimadXaGZp/us     548
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
Hyprland                        551
